

Ente;Liste/Gruppi;Voti;
DORZANO;ITALIA DEI VALORI;2;;
DORZANO;VERDI EUROPEI-GREEN ITALIA;1;;
DORZANO;IO CAMBIO - MAIE;1;;
DORZANO;SCELTA EUROPEA;0;;
GAGLIANICO;PARTITO DEMOCRATICO;782;;
GAGLIANICO;FORZA ITALIA;443;;
GAGLIANICO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;432;;
GAGLIANICO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;206;;
GAGLIANICO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;111;;
GAGLIANICO;NUOVO CENTRO DESTRA - UDC;66;;
GAGLIANICO;L'ALTRA EUROPA CON TSIPRAS;40;;
GAGLIANICO;SCELTA EUROPEA;30;;
GAGLIANICO;VERDI EUROPEI-GREEN ITALIA;25;;
GAGLIANICO;ITALIA DEI VALORI;19;;
GAGLIANICO;IO CAMBIO - MAIE;9;;
GIFFLENGA;FORZA ITALIA;31;;
GIFFLENGA;PARTITO DEMOCRATICO;14;;
GIFFLENGA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;11;;
GIFFLENGA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;6;;
GIFFLENGA;L'ALTRA EUROPA CON TSIPRAS;2;;
GIFFLENGA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;2;;
GIFFLENGA;NUOVO CENTRO DESTRA - UDC;1;;
GIFFLENGA;ITALIA DEI VALORI;1;;
GIFFLENGA;IO CAMBIO - MAIE;0;;
GIFFLENGA;VERDI EUROPEI-GREEN ITALIA;0;;
GIFFLENGA;SCELTA EUROPEA;0;;
GRAGLIA;PARTITO DEMOCRATICO;273;;
GRAGLIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;188;;
GRAGLIA;FORZA ITALIA;184;;
GRAGLIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;94;;
GRAGLIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;50;;
GRAGLIA;SCELTA EUROPEA;23;;
GRAGLIA;NUOVO CENTRO DESTRA - UDC;17;;
GRAGLIA;L'ALTRA EUROPA CON TSIPRAS;16;;
GRAGLIA;VERDI EUROPEI-GREEN ITALIA;10;;
GRAGLIA;IO CAMBIO - MAIE;3;;
GRAGLIA;ITALIA DEI VALORI;1;;
LESSONA;PARTITO DEMOCRATICO;683;;
LESSONA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;229;;
LESSONA;FORZA ITALIA;210;;
LESSONA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;169;;
LESSONA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;47;;
LESSONA;L'ALTRA EUROPA CON TSIPRAS;28;;
LESSONA;SCELTA EUROPEA;26;;
LESSONA;NUOVO CENTRO DESTRA - UDC;23;;
LESSONA;ITALIA DEI VALORI;14;;
LESSONA;VERDI EUROPEI-GREEN ITALIA;12;;
LESSONA;IO CAMBIO - MAIE;4;;
MAGNANO;PARTITO DEMOCRATICO;71;;
MAGNANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;49;;
MAGNANO;L'ALTRA EUROPA CON TSIPRAS;32;;
MAGNANO;FORZA ITALIA;32;;
MAGNANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;24;;
MAGNANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;10;;
MAGNANO;ITALIA DEI VALORI;5;;
MAGNANO;VERDI EUROPEI-GREEN ITALIA;2;;
MAGNANO;NUOVO CENTRO DESTRA - UDC;1;;
MAGNANO;SCELTA EUROPEA;1;;
MAGNANO;IO CAMBIO - MAIE;0;;
MASSAZZA;PARTITO DEMOCRATICO;97;;
MASSAZZA;FORZA ITALIA;72;;
MASSAZZA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;53;;
MASSAZZA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;35;;
MASSAZZA;NUOVO CENTRO DESTRA - UDC;20;;
MASSAZZA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;5;;
MASSAZZA;SCELTA EUROPEA;5;;
MASSAZZA;ITALIA DEI VALORI;3;;
MASSAZZA;L'ALTRA EUROPA CON TSIPRAS;2;;
MASSAZZA;VERDI EUROPEI-GREEN ITALIA;1;;
MASSAZZA;IO CAMBIO - MAIE;1;;
MASSERANO;PARTITO DEMOCRATICO;376;;
MASSERANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;189;;
MASSERANO;FORZA ITALIA;163;;
MASSERANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;97;;
MASSERANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;34;;
MASSERANO;L'ALTRA EUROPA CON TSIPRAS;31;;
MASSERANO;SCELTA EUROPEA;13;;
MASSERANO;NUOVO CENTRO DESTRA - UDC;12;;
MASSERANO;ITALIA DEI VALORI;7;;
MASSERANO;VERDI EUROPEI-GREEN ITALIA;4;;
MASSERANO;IO CAMBIO - MAIE;3;;
MEZZANA MORTIGLIENGO;PARTITO DEMOCRATICO;152;;
MEZZANA MORTIGLIENGO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;49;;
MEZZANA MORTIGLIENGO;FORZA ITALIA;39;;
MEZZANA MORTIGLIENGO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;27;;
MEZZANA MORTIGLIENGO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;11;;
MEZZANA MORTIGLIENGO;L'ALTRA EUROPA CON TSIPRAS;8;;
MEZZANA MORTIGLIENGO;NUOVO CENTRO DESTRA - UDC;4;;
MEZZANA MORTIGLIENGO;ITALIA DEI VALORI;2;;
MEZZANA MORTIGLIENGO;SCELTA EUROPEA;2;;
MEZZANA MORTIGLIENGO;VERDI EUROPEI-GREEN ITALIA;1;;
MEZZANA MORTIGLIENGO;IO CAMBIO - MAIE;0;;
MIAGLIANO;PARTITO DEMOCRATICO;114;;
