

Ente;Liste/Gruppi;Voti;
LATERINA;PARTITO DEMOCRATICO;1089;;
LATERINA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;322;;
LATERINA;FORZA ITALIA;269;;
LATERINA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;78;;
LATERINA;L'ALTRA EUROPA CON TSIPRAS;57;;
LATERINA;NUOVO CENTRO DESTRA - UDC;45;;
LATERINA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;40;;
LATERINA;VERDI EUROPEI-GREEN ITALIA;14;;
LATERINA;ITALIA DEI VALORI;7;;
LATERINA;SCELTA EUROPEA;4;;
LATERINA;IO CAMBIO - MAIE;2;;
LORO CIUFFENNA;PARTITO DEMOCRATICO;1863;;
LORO CIUFFENNA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;540;;
LORO CIUFFENNA;FORZA ITALIA;467;;
LORO CIUFFENNA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;122;;
LORO CIUFFENNA;L'ALTRA EUROPA CON TSIPRAS;114;;
LORO CIUFFENNA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;93;;
LORO CIUFFENNA;NUOVO CENTRO DESTRA - UDC;82;;
LORO CIUFFENNA;ITALIA DEI VALORI;30;;
LORO CIUFFENNA;VERDI EUROPEI-GREEN ITALIA;24;;
LORO CIUFFENNA;SCELTA EUROPEA;5;;
LORO CIUFFENNA;IO CAMBIO - MAIE;2;;
LUCIGNANO;PARTITO DEMOCRATICO;1097;;
LUCIGNANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;328;;
LUCIGNANO;FORZA ITALIA;295;;
LUCIGNANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;76;;
LUCIGNANO;L'ALTRA EUROPA CON TSIPRAS;76;;
LUCIGNANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;52;;
LUCIGNANO;NUOVO CENTRO DESTRA - UDC;50;;
LUCIGNANO;VERDI EUROPEI-GREEN ITALIA;14;;
LUCIGNANO;ITALIA DEI VALORI;11;;
LUCIGNANO;IO CAMBIO - MAIE;4;;
LUCIGNANO;SCELTA EUROPEA;4;;
MARCIANO DELLA CHIANA;PARTITO DEMOCRATICO;910;;
MARCIANO DELLA CHIANA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;374;;
MARCIANO DELLA CHIANA;FORZA ITALIA;353;;
MARCIANO DELLA CHIANA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;76;;
MARCIANO DELLA CHIANA;NUOVO CENTRO DESTRA - UDC;47;;
MARCIANO DELLA CHIANA;L'ALTRA EUROPA CON TSIPRAS;43;;
MARCIANO DELLA CHIANA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;38;;
MARCIANO DELLA CHIANA;IO CAMBIO - MAIE;11;;
MARCIANO DELLA CHIANA;ITALIA DEI VALORI;10;;
MARCIANO DELLA CHIANA;SCELTA EUROPEA;8;;
MARCIANO DELLA CHIANA;VERDI EUROPEI-GREEN ITALIA;8;;
MONTEMIGNAIO;PARTITO DEMOCRATICO;172;;
MONTEMIGNAIO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;42;;
MONTEMIGNAIO;FORZA ITALIA;31;;
MONTEMIGNAIO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;16;;
MONTEMIGNAIO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;11;;
MONTEMIGNAIO;L'ALTRA EUROPA CON TSIPRAS;9;;
MONTEMIGNAIO;ITALIA DEI VALORI;4;;
MONTEMIGNAIO;NUOVO CENTRO DESTRA - UDC;3;;
MONTEMIGNAIO;SCELTA EUROPEA;1;;
MONTEMIGNAIO;VERDI EUROPEI-GREEN ITALIA;1;;
MONTEMIGNAIO;IO CAMBIO - MAIE;0;;
MONTERCHI;PARTITO DEMOCRATICO;605;;
MONTERCHI;FORZA ITALIA;193;;
MONTERCHI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;146;;
MONTERCHI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;60;;
MONTERCHI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;60;;
MONTERCHI;L'ALTRA EUROPA CON TSIPRAS;41;;
MONTERCHI;NUOVO CENTRO DESTRA - UDC;29;;
MONTERCHI;VERDI EUROPEI-GREEN ITALIA;7;;
MONTERCHI;SCELTA EUROPEA;6;;
MONTERCHI;ITALIA DEI VALORI;6;;
MONTERCHI;IO CAMBIO - MAIE;3;;
MONTE SAN SAVINO;PARTITO DEMOCRATICO;2373;;
MONTE SAN SAVINO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;662;;
MONTE SAN SAVINO;FORZA ITALIA;552;;
MONTE SAN SAVINO;NUOVO CENTRO DESTRA - UDC;143;;
MONTE SAN SAVINO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;121;;
MONTE SAN SAVINO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;107;;
MONTE SAN SAVINO;L'ALTRA EUROPA CON TSIPRAS;88;;
MONTE SAN SAVINO;VERDI EUROPEI-GREEN ITALIA;21;;
MONTE SAN SAVINO;ITALIA DEI VALORI;20;;
MONTE SAN SAVINO;SCELTA EUROPEA;8;;
MONTE SAN SAVINO;IO CAMBIO - MAIE;8;;
MONTEVARCHI;PARTITO DEMOCRATICO;7056;;
MONTEVARCHI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1724;;
MONTEVARCHI;FORZA ITALIA;1218;;
MONTEVARCHI;L'ALTRA EUROPA CON TSIPRAS;358;;
MONTEVARCHI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;319;;
MONTEVARCHI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;279;;
MONTEVARCHI;NUOVO CENTRO DESTRA - UDC;249;;
MONTEVARCHI;VERDI EUROPEI-GREEN ITALIA;83;;
MONTEVARCHI;ITALIA DEI VALORI;53;;
MONTEVARCHI;SCELTA EUROPEA;39;;
MONTEVARCHI;IO CAMBIO - MAIE;11;;
ORTIGNANO RAGGIOLO;PARTITO DEMOCRATICO;258;;
ORTIGNANO RAGGIOLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;74;;
ORTIGNANO RAGGIOLO;FORZA ITALIA;51;;
ORTIGNANO RAGGIOLO;NUOVO CENTRO DESTRA - UDC;20;;
ORTIGNANO RAGGIOLO;L'ALTRA EUROPA CON TSIPRAS;11;;
ORTIGNANO RAGGIOLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;7;;
ORTIGNANO RAGGIOLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;7;;
ORTIGNANO RAGGIOLO;ITALIA DEI VALORI;5;;
ORTIGNANO RAGGIOLO;SCELTA EUROPEA;3;;
ORTIGNANO RAGGIOLO;VERDI EUROPEI-GREEN ITALIA;1;;
ORTIGNANO RAGGIOLO;IO CAMBIO - MAIE;0;;
PERGINE VALDARNO;PARTITO DEMOCRATICO;1145;;
PERGINE VALDARNO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;324;;
PERGINE VALDARNO;FORZA ITALIA;230;;
PERGINE VALDARNO;L'ALTRA EUROPA CON TSIPRAS;73;;
PERGINE VALDARNO;NUOVO CENTRO DESTRA - UDC;66;;
PERGINE VALDARNO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;59;;
PERGINE VALDARNO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;44;;
PERGINE VALDARNO;VERDI EUROPEI-GREEN ITALIA;12;;
PERGINE VALDARNO;ITALIA DEI VALORI;11;;
PERGINE VALDARNO;SCELTA EUROPEA;7;;
PERGINE VALDARNO;IO CAMBIO - MAIE;6;;
PIEVE SANTO STEFANO;PARTITO DEMOCRATICO;929;;
PIEVE SANTO STEFANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;313;;
PIEVE SANTO STEFANO;FORZA ITALIA;274;;
PIEVE SANTO STEFANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;89;;
PIEVE SANTO STEFANO;NUOVO CENTRO DESTRA - UDC;86;;
PIEVE SANTO STEFANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;86;;
PIEVE SANTO STEFANO;L'ALTRA EUROPA CON TSIPRAS;45;;
PIEVE SANTO STEFANO;VERDI EUROPEI-GREEN ITALIA;16;;
PIEVE SANTO STEFANO;SCELTA EUROPEA;11;;
PIEVE SANTO STEFANO;ITALIA DEI VALORI;9;;
PIEVE SANTO STEFANO;IO CAMBIO - MAIE;3;;
POPPI;PARTITO DEMOCRATICO;2081;;
POPPI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;470;;
POPPI;FORZA ITALIA;425;;
POPPI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;113;;
POPPI;NUOVO CENTRO DESTRA - UDC;109;;
POPPI;L'ALTRA EUROPA CON TSIPRAS;104;;
POPPI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;77;;
POPPI;ITALIA DEI VALORI;26;;
POPPI;VERDI EUROPEI-GREEN ITALIA;19;;
POPPI;SCELTA EUROPEA;12;;
POPPI;IO CAMBIO - MAIE;5;;
PRATOVECCHIO STIA;PARTITO DEMOCRATICO;2120;;
PRATOVECCHIO STIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;493;;
PRATOVECCHIO STIA;FORZA ITALIA;468;;
PRATOVECCHIO STIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;157;;
PRATOVECCHIO STIA;L'ALTRA EUROPA CON TSIPRAS;130;;
PRATOVECCHIO STIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;102;;
PRATOVECCHIO STIA;NUOVO CENTRO DESTRA - UDC;77;;
PRATOVECCHIO STIA;VERDI EUROPEI-GREEN ITALIA;32;;
PRATOVECCHIO STIA;ITALIA DEI VALORI;20;;
PRATOVECCHIO STIA;SCELTA EUROPEA;13;;
PRATOVECCHIO STIA;IO CAMBIO - MAIE;9;;
SAN GIOVANNI VALDARNO;PARTITO DEMOCRATICO;5761;;
SAN GIOVANNI VALDARNO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1382;;
SAN GIOVANNI VALDARNO;FORZA ITALIA;915;;
SAN GIOVANNI VALDARNO;L'ALTRA EUROPA CON TSIPRAS;401;;
SAN GIOVANNI VALDARNO;NUOVO CENTRO DESTRA - UDC;201;;
SAN GIOVANNI VALDARNO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;194;;
SAN GIOVANNI VALDARNO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;157;;
SAN GIOVANNI VALDARNO;VERDI EUROPEI-GREEN ITALIA;88;;
SAN GIOVANNI VALDARNO;SCELTA EUROPEA;47;;
SAN GIOVANNI VALDARNO;ITALIA DEI VALORI;37;;
SAN GIOVANNI VALDARNO;IO CAMBIO - MAIE;12;;
SANSEPOLCRO;PARTITO DEMOCRATICO;4751;;
SANSEPOLCRO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1082;;
SANSEPOLCRO;FORZA ITALIA;1009;;
SANSEPOLCRO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;299;;
SANSEPOLCRO;NUOVO CENTRO DESTRA - UDC;249;;
SANSEPOLCRO;L'ALTRA EUROPA CON TSIPRAS;233;;
SANSEPOLCRO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;229;;
SANSEPOLCRO;SCELTA EUROPEA;36;;
SANSEPOLCRO;VERDI EUROPEI-GREEN ITALIA;34;;
SANSEPOLCRO;ITALIA DEI VALORI;23;;
SANSEPOLCRO;IO CAMBIO - MAIE;4;;
SESTINO;PARTITO DEMOCRATICO;355;;
SESTINO;FORZA ITALIA;180;;
SESTINO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;125;;
SESTINO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;40;;
SESTINO;NUOVO CENTRO DESTRA - UDC;36;;
SESTINO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;33;;
SESTINO;L'ALTRA EUROPA CON TSIPRAS;13;;
SESTINO;ITALIA DEI VALORI;9;;
SESTINO;VERDI EUROPEI-GREEN ITALIA;5;;
SESTINO;SCELTA EUROPEA;4;;
SESTINO;IO CAMBIO - MAIE;2;;
SUBBIANO;PARTITO DEMOCRATICO;1982;;
SUBBIANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;668;;
SUBBIANO;FORZA ITALIA;384;;
SUBBIANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;114;;
SUBBIANO;L'ALTRA EUROPA CON TSIPRAS;106;;
SUBBIANO;NUOVO CENTRO DESTRA - UDC;101;;
SUBBIANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;94;;
SUBBIANO;ITALIA DEI VALORI;22;;
SUBBIANO;VERDI EUROPEI-GREEN ITALIA;21;;
SUBBIANO;SCELTA EUROPEA;15;;
SUBBIANO;IO CAMBIO - MAIE;3;;
TALLA;PARTITO DEMOCRATICO;319;;
TALLA;FORZA ITALIA;101;;
TALLA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;99;;
TALLA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;34;;
TALLA;L'ALTRA EUROPA CON TSIPRAS;30;;
TALLA;NUOVO CENTRO DESTRA - UDC;29;;
TALLA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;14;;
TALLA;VERDI EUROPEI-GREEN ITALIA;5;;
TALLA;ITALIA DEI VALORI;2;;
TALLA;SCELTA EUROPEA;1;;
