

Ente;Liste/Gruppi;Voti;
MONTECAROTTO;IO CAMBIO - MAIE;1;;
MONTEMARCIANO;PARTITO DEMOCRATICO;2589;;
MONTEMARCIANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1468;;
MONTEMARCIANO;FORZA ITALIA;570;;
MONTEMARCIANO;L'ALTRA EUROPA CON TSIPRAS;236;;
MONTEMARCIANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;170;;
MONTEMARCIANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;163;;
MONTEMARCIANO;NUOVO CENTRO DESTRA - UDC;119;;
MONTEMARCIANO;VERDI EUROPEI-GREEN ITALIA;56;;
MONTEMARCIANO;ITALIA DEI VALORI;46;;
MONTEMARCIANO;SCELTA EUROPEA;43;;
MONTEMARCIANO;IO CAMBIO - MAIE;10;;
MONTE ROBERTO;PARTITO DEMOCRATICO;815;;
MONTE ROBERTO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;407;;
MONTE ROBERTO;FORZA ITALIA;164;;
MONTE ROBERTO;L'ALTRA EUROPA CON TSIPRAS;68;;
MONTE ROBERTO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;59;;
MONTE ROBERTO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;52;;
MONTE ROBERTO;NUOVO CENTRO DESTRA - UDC;32;;
MONTE ROBERTO;VERDI EUROPEI-GREEN ITALIA;21;;
MONTE ROBERTO;ITALIA DEI VALORI;13;;
MONTE ROBERTO;SCELTA EUROPEA;10;;
MONTE ROBERTO;IO CAMBIO - MAIE;9;;
MONTE SAN VITO;PARTITO DEMOCRATICO;2070;;
MONTE SAN VITO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;955;;
MONTE SAN VITO;FORZA ITALIA;307;;
MONTE SAN VITO;L'ALTRA EUROPA CON TSIPRAS;180;;
MONTE SAN VITO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;107;;
MONTE SAN VITO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;92;;
MONTE SAN VITO;NUOVO CENTRO DESTRA - UDC;75;;
MONTE SAN VITO;SCELTA EUROPEA;41;;
