

Ente;Liste/Gruppi;Voti;
SAN VITO LO CAPO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;4;;
TRAPANI;PARTITO DEMOCRATICO;6761;;
TRAPANI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;5999;;
TRAPANI;FORZA ITALIA;3772;;
TRAPANI;NUOVO CENTRO DESTRA - UDC;930;;
TRAPANI;L'ALTRA EUROPA CON TSIPRAS;627;;
TRAPANI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;489;;
TRAPANI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;197;;
TRAPANI;VERDI EUROPEI-GREEN ITALIA;138;;
TRAPANI;ITALIA DEI VALORI;133;;
TRAPANI;SCELTA EUROPEA;90;;
TRAPANI;IO CAMBIO - MAIE;36;;
VALDERICE;PARTITO DEMOCRATICO;1743;;
VALDERICE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;992;;
VALDERICE;FORZA ITALIA;596;;
VALDERICE;NUOVO CENTRO DESTRA - UDC;174;;
VALDERICE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;102;;
VALDERICE;L'ALTRA EUROPA CON TSIPRAS;91;;
VALDERICE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;23;;
VALDERICE;VERDI EUROPEI-GREEN ITALIA;18;;
VALDERICE;ITALIA DEI VALORI;17;;
VALDERICE;SCELTA EUROPEA;8;;
VALDERICE;IO CAMBIO - MAIE;4;;
VITA;PARTITO DEMOCRATICO;229;;
VITA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;170;;
VITA;NUOVO CENTRO DESTRA - UDC;149;;
VITA;FORZA ITALIA;120;;
VITA;L'ALTRA EUROPA CON TSIPRAS;30;;
VITA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;18;;
VITA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;7;;
VITA;ITALIA DEI VALORI;4;;
VITA;SCELTA EUROPEA;4;;
VITA;VERDI EUROPEI-GREEN ITALIA;1;;
VITA;IO CAMBIO - MAIE;0;;
