

Ente;Liste/Gruppi;Voti;
SAN COSTANTINO CALABRO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;178;;
SAN COSTANTINO CALABRO;FORZA ITALIA;160;;
SAN COSTANTINO CALABRO;NUOVO CENTRO DESTRA - UDC;56;;
SAN COSTANTINO CALABRO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;21;;
SAN COSTANTINO CALABRO;L'ALTRA EUROPA CON TSIPRAS;21;;
SAN COSTANTINO CALABRO;SCELTA EUROPEA;4;;
SAN COSTANTINO CALABRO;VERDI EUROPEI-GREEN ITALIA;3;;
SAN COSTANTINO CALABRO;ITALIA DEI VALORI;1;;
SAN COSTANTINO CALABRO;IO CAMBIO - MAIE;0;;
SAN COSTANTINO CALABRO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;0;;
SAN GREGORIO D'IPPONA;FORZA ITALIA;531;;
SAN GREGORIO D'IPPONA;PARTITO DEMOCRATICO;360;;
SAN GREGORIO D'IPPONA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;193;;
SAN GREGORIO D'IPPONA;NUOVO CENTRO DESTRA - UDC;127;;
SAN GREGORIO D'IPPONA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;67;;
SAN GREGORIO D'IPPONA;SCELTA EUROPEA;26;;
SAN GREGORIO D'IPPONA;ITALIA DEI VALORI;11;;
SAN GREGORIO D'IPPONA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;8;;
SAN GREGORIO D'IPPONA;IO CAMBIO - MAIE;8;;
SAN GREGORIO D'IPPONA;L'ALTRA EUROPA CON TSIPRAS;6;;
SAN GREGORIO D'IPPONA;VERDI EUROPEI-GREEN ITALIA;5;;
SAN NICOLA DA CRISSA;PARTITO DEMOCRATICO;251;;
SAN NICOLA DA CRISSA;FORZA ITALIA;102;;
SAN NICOLA DA CRISSA;NUOVO CENTRO DESTRA - UDC;50;;
SAN NICOLA DA CRISSA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;33;;
SAN NICOLA DA CRISSA;L'ALTRA EUROPA CON TSIPRAS;18;;
SAN NICOLA DA CRISSA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;16;;
SAN NICOLA DA CRISSA;SCELTA EUROPEA;2;;
SAN NICOLA DA CRISSA;ITALIA DEI VALORI;1;;
SAN NICOLA DA CRISSA;IO CAMBIO - MAIE;1;;
SAN NICOLA DA CRISSA;VERDI EUROPEI-GREEN ITALIA;0;;
SAN NICOLA DA CRISSA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;0;;
SANT'ONOFRIO;PARTITO DEMOCRATICO;411;;
SANT'ONOFRIO;FORZA ITALIA;322;;
SANT'ONOFRIO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;112;;
SANT'ONOFRIO;NUOVO CENTRO DESTRA - UDC;106;;
SANT'ONOFRIO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;32;;
SANT'ONOFRIO;L'ALTRA EUROPA CON TSIPRAS;18;;
SANT'ONOFRIO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;4;;
SANT'ONOFRIO;ITALIA DEI VALORI;4;;
SANT'ONOFRIO;VERDI EUROPEI-GREEN ITALIA;3;;
SANT'ONOFRIO;IO CAMBIO - MAIE;2;;
SANT'ONOFRIO;SCELTA EUROPEA;2;;
SERRA SAN BRUNO;PARTITO DEMOCRATICO;781;;
SERRA SAN BRUNO;NUOVO CENTRO DESTRA - UDC;578;;
SERRA SAN BRUNO;FORZA ITALIA;496;;
SERRA SAN BRUNO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;406;;
SERRA SAN BRUNO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;86;;
SERRA SAN BRUNO;SCELTA EUROPEA;58;;
SERRA SAN BRUNO;L'ALTRA EUROPA CON TSIPRAS;46;;
SERRA SAN BRUNO;VERDI EUROPEI-GREEN ITALIA;10;;
SERRA SAN BRUNO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;7;;
SERRA SAN BRUNO;ITALIA DEI VALORI;6;;
SERRA SAN BRUNO;IO CAMBIO - MAIE;0;;
SIMBARIO;FORZA ITALIA;184;;
SIMBARIO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;142;;
SIMBARIO;PARTITO DEMOCRATICO;116;;
SIMBARIO;NUOVO CENTRO DESTRA - UDC;55;;
SIMBARIO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;27;;
SIMBARIO;L'ALTRA EUROPA CON TSIPRAS;11;;
SIMBARIO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;6;;
SIMBARIO;SCELTA EUROPEA;3;;
SIMBARIO;IO CAMBIO - MAIE;2;;
SIMBARIO;VERDI EUROPEI-GREEN ITALIA;0;;
SIMBARIO;ITALIA DEI VALORI;0;;
SORIANELLO;FORZA ITALIA;324;;
SORIANELLO;PARTITO DEMOCRATICO;162;;
SORIANELLO;NUOVO CENTRO DESTRA - UDC;119;;
SORIANELLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;57;;
SORIANELLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;29;;
SORIANELLO;ITALIA DEI VALORI;19;;
SORIANELLO;L'ALTRA EUROPA CON TSIPRAS;5;;
SORIANELLO;VERDI EUROPEI-GREEN ITALIA;5;;
SORIANELLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;3;;
SORIANELLO;IO CAMBIO - MAIE;3;;
SORIANELLO;SCELTA EUROPEA;1;;
SORIANO CALABRO;FORZA ITALIA;558;;
SORIANO CALABRO;PARTITO DEMOCRATICO;285;;
SORIANO CALABRO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;202;;
