

Ente;Liste/Gruppi;Voti;
CASANOVA LONATI;PARTITO DEMOCRATICO;122;;
CASANOVA LONATI;FORZA ITALIA;50;;
CASANOVA LONATI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;40;;
CASANOVA LONATI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;36;;
CASANOVA LONATI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;19;;
CASANOVA LONATI;L'ALTRA EUROPA CON TSIPRAS;6;;
CASANOVA LONATI;NUOVO CENTRO DESTRA - UDC;6;;
CASANOVA LONATI;VERDI EUROPEI-GREEN ITALIA;3;;
CASANOVA LONATI;SCELTA EUROPEA;3;;
CASANOVA LONATI;ITALIA DEI VALORI;1;;
CASANOVA LONATI;IO CAMBIO - MAIE;0;;
CASATISMA;PARTITO DEMOCRATICO;210;;
CASATISMA;FORZA ITALIA;137;;
CASATISMA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;89;;
CASATISMA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;81;;
CASATISMA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;17;;
CASATISMA;VERDI EUROPEI-GREEN ITALIA;16;;
CASATISMA;NUOVO CENTRO DESTRA - UDC;6;;
CASATISMA;L'ALTRA EUROPA CON TSIPRAS;5;;
CASATISMA;ITALIA DEI VALORI;4;;
CASATISMA;SCELTA EUROPEA;2;;
CASATISMA;IO CAMBIO - MAIE;0;;
CASEI GEROLA;PARTITO DEMOCRATICO;546;;
CASEI GEROLA;FORZA ITALIA;358;;
CASEI GEROLA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;241;;
CASEI GEROLA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;184;;
CASEI GEROLA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;53;;
CASEI GEROLA;NUOVO CENTRO DESTRA - UDC;39;;
CASEI GEROLA;L'ALTRA EUROPA CON TSIPRAS;22;;
CASEI GEROLA;ITALIA DEI VALORI;15;;
CASEI GEROLA;VERDI EUROPEI-GREEN ITALIA;13;;
CASEI GEROLA;IO CAMBIO - MAIE;4;;
CASEI GEROLA;SCELTA EUROPEA;4;;
CASORATE PRIMO;PARTITO DEMOCRATICO;1451;;
CASORATE PRIMO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1019;;
CASORATE PRIMO;FORZA ITALIA;945;;
CASORATE PRIMO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;532;;
CASORATE PRIMO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;153;;
CASORATE PRIMO;L'ALTRA EUROPA CON TSIPRAS;148;;
CASORATE PRIMO;NUOVO CENTRO DESTRA - UDC;136;;
CASORATE PRIMO;VERDI EUROPEI-GREEN ITALIA;49;;
CASORATE PRIMO;ITALIA DEI VALORI;38;;
CASORATE PRIMO;SCELTA EUROPEA;34;;
CASORATE PRIMO;IO CAMBIO - MAIE;14;;
CASSOLNOVO;PARTITO DEMOCRATICO;1266;;
CASSOLNOVO;FORZA ITALIA;753;;
CASSOLNOVO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;708;;
CASSOLNOVO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;512;;
CASSOLNOVO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;120;;
CASSOLNOVO;NUOVO CENTRO DESTRA - UDC;114;;
CASSOLNOVO;L'ALTRA EUROPA CON TSIPRAS;60;;
CASSOLNOVO;ITALIA DEI VALORI;51;;
CASSOLNOVO;VERDI EUROPEI-GREEN ITALIA;30;;
CASSOLNOVO;SCELTA EUROPEA;19;;
CASSOLNOVO;IO CAMBIO - MAIE;10;;
CASTANA;PARTITO DEMOCRATICO;160;;
CASTANA;FORZA ITALIA;125;;
CASTANA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;74;;
CASTANA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;65;;
CASTANA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;13;;
CASTANA;ITALIA DEI VALORI;7;;
CASTANA;VERDI EUROPEI-GREEN ITALIA;6;;
CASTANA;L'ALTRA EUROPA CON TSIPRAS;4;;
CASTANA;NUOVO CENTRO DESTRA - UDC;3;;
CASTANA;SCELTA EUROPEA;2;;
CASTANA;IO CAMBIO - MAIE;0;;
CASTEGGIO;PARTITO DEMOCRATICO;1451;;
CASTEGGIO;FORZA ITALIA;810;;
