

Ente;Liste/Gruppi;Voti;
MONTECARLO;FORZA ITALIA;410;;
MONTECARLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;145;;
MONTECARLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;94;;
MONTECARLO;L'ALTRA EUROPA CON TSIPRAS;77;;
MONTECARLO;NUOVO CENTRO DESTRA - UDC;38;;
MONTECARLO;ITALIA DEI VALORI;29;;
MONTECARLO;VERDI EUROPEI-GREEN ITALIA;24;;
MONTECARLO;SCELTA EUROPEA;18;;
MONTECARLO;IO CAMBIO - MAIE;7;;
PESCAGLIA;PARTITO DEMOCRATICO;1009;;
PESCAGLIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;431;;
PESCAGLIA;FORZA ITALIA;318;;
PESCAGLIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;98;;
PESCAGLIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;63;;
PESCAGLIA;NUOVO CENTRO DESTRA - UDC;62;;
PESCAGLIA;L'ALTRA EUROPA CON TSIPRAS;60;;
PESCAGLIA;SCELTA EUROPEA;21;;
PESCAGLIA;VERDI EUROPEI-GREEN ITALIA;18;;
PESCAGLIA;ITALIA DEI VALORI;18;;
PESCAGLIA;IO CAMBIO - MAIE;14;;
PIAZZA AL SERCHIO;PARTITO DEMOCRATICO;701;;
PIAZZA AL SERCHIO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;227;;
PIAZZA AL SERCHIO;FORZA ITALIA;155;;
PIAZZA AL SERCHIO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;58;;
PIAZZA AL SERCHIO;NUOVO CENTRO DESTRA - UDC;44;;
PIAZZA AL SERCHIO;L'ALTRA EUROPA CON TSIPRAS;33;;
PIAZZA AL SERCHIO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;29;;
PIAZZA AL SERCHIO;VERDI EUROPEI-GREEN ITALIA;6;;
PIAZZA AL SERCHIO;ITALIA DEI VALORI;6;;
PIAZZA AL SERCHIO;SCELTA EUROPEA;1;;
PIAZZA AL SERCHIO;IO CAMBIO - MAIE;0;;
PIETRASANTA;PARTITO DEMOCRATICO;4663;;
PIETRASANTA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;2312;;
PIETRASANTA;FORZA ITALIA;1669;;
PIETRASANTA;L'ALTRA EUROPA CON TSIPRAS;503;;
PIETRASANTA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;362;;
