

Ente;Liste/Gruppi;Voti;
MONTEFIASCONE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;354;;
MONTEFIASCONE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;196;;
MONTEFIASCONE;NUOVO CENTRO DESTRA - UDC;179;;
MONTEFIASCONE;L'ALTRA EUROPA CON TSIPRAS;127;;
MONTEFIASCONE;VERDI EUROPEI-GREEN ITALIA;46;;
MONTEFIASCONE;SCELTA EUROPEA;23;;
MONTEFIASCONE;ITALIA DEI VALORI;17;;
MONTEFIASCONE;IO CAMBIO - MAIE;7;;
MONTE ROMANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;436;;
MONTE ROMANO;PARTITO DEMOCRATICO;421;;
MONTE ROMANO;FORZA ITALIA;301;;
MONTE ROMANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;95;;
MONTE ROMANO;NUOVO CENTRO DESTRA - UDC;89;;
MONTE ROMANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;53;;
MONTE ROMANO;L'ALTRA EUROPA CON TSIPRAS;19;;
MONTE ROMANO;ITALIA DEI VALORI;6;;
MONTE ROMANO;SCELTA EUROPEA;5;;
MONTE ROMANO;VERDI EUROPEI-GREEN ITALIA;5;;
MONTE ROMANO;IO CAMBIO - MAIE;0;;
MONTEROSI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;704;;
MONTEROSI;PARTITO DEMOCRATICO;651;;
MONTEROSI;FORZA ITALIA;450;;
MONTEROSI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;178;;
MONTEROSI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;65;;
MONTEROSI;L'ALTRA EUROPA CON TSIPRAS;53;;
MONTEROSI;NUOVO CENTRO DESTRA - UDC;51;;
MONTEROSI;ITALIA DEI VALORI;25;;
MONTEROSI;SCELTA EUROPEA;24;;
MONTEROSI;VERDI EUROPEI-GREEN ITALIA;23;;
MONTEROSI;IO CAMBIO - MAIE;2;;
