

Ente;Liste/Gruppi;Voti;
BRONDELLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;33;;
BRONDELLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;32;;
BRONDELLO;FORZA ITALIA;27;;
BRONDELLO;NUOVO CENTRO DESTRA - UDC;26;;
BRONDELLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;9;;
BRONDELLO;L'ALTRA EUROPA CON TSIPRAS;6;;
BRONDELLO;ITALIA DEI VALORI;2;;
BRONDELLO;SCELTA EUROPEA;1;;
BRONDELLO;VERDI EUROPEI-GREEN ITALIA;0;;
BRONDELLO;IO CAMBIO - MAIE;0;;
BROSSASCO;PARTITO DEMOCRATICO;224;;
BROSSASCO;FORZA ITALIA;138;;
BROSSASCO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;116;;
BROSSASCO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;111;;
BROSSASCO;NUOVO CENTRO DESTRA - UDC;27;;
BROSSASCO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;25;;
BROSSASCO;L'ALTRA EUROPA CON TSIPRAS;14;;
BROSSASCO;ITALIA DEI VALORI;6;;
BROSSASCO;VERDI EUROPEI-GREEN ITALIA;3;;
BROSSASCO;SCELTA EUROPEA;3;;
BROSSASCO;IO CAMBIO - MAIE;1;;
BUSCA;PARTITO DEMOCRATICO;1742;;
BUSCA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1111;;
BUSCA;FORZA ITALIA;970;;
BUSCA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;656;;
BUSCA;NUOVO CENTRO DESTRA - UDC;432;;
BUSCA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;329;;
BUSCA;L'ALTRA EUROPA CON TSIPRAS;117;;
BUSCA;ITALIA DEI VALORI;58;;
BUSCA;VERDI EUROPEI-GREEN ITALIA;45;;
BUSCA;SCELTA EUROPEA;39;;
BUSCA;IO CAMBIO - MAIE;15;;
CAMERANA;PARTITO DEMOCRATICO;153;;
CAMERANA;FORZA ITALIA;90;;
CAMERANA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;50;;
CAMERANA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;37;;
CAMERANA;NUOVO CENTRO DESTRA - UDC;23;;
CAMERANA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;9;;
CAMERANA;ITALIA DEI VALORI;3;;
CAMERANA;VERDI EUROPEI-GREEN ITALIA;3;;
CAMERANA;L'ALTRA EUROPA CON TSIPRAS;3;;
CAMERANA;SCELTA EUROPEA;1;;
CAMERANA;IO CAMBIO - MAIE;0;;
CAMO;FORZA ITALIA;55;;
CAMO;PARTITO DEMOCRATICO;13;;
CAMO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;13;;
CAMO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;11;;
CAMO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;3;;
CAMO;SCELTA EUROPEA;2;;
CAMO;NUOVO CENTRO DESTRA - UDC;1;;
CAMO;IO CAMBIO - MAIE;0;;
CAMO;ITALIA DEI VALORI;0;;
CAMO;VERDI EUROPEI-GREEN ITALIA;0;;
CAMO;L'ALTRA EUROPA CON TSIPRAS;0;;
CANALE;PARTITO DEMOCRATICO;969;;
CANALE;FORZA ITALIA;680;;
CANALE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;567;;
CANALE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;273;;
